categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
aretin-urinaire,Manaintaina rehefa mivoaka pipi ary tazo efa 6 andro lasa izay,Triméthoprime-Sulfaméthoxazole : 2x/andro mandritra ny 5 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mitazona pipi ela loatra,aretin-urinaire,manaintaina rehefa mivoaka pipi ary tazo efa andro lasa izay marary mangirifiry fanaintainana mamany mipipi manavy mafana mamay
aretin-tratra,Misy tsindry eo amin ny tratrako hatramin'ny 9 ora,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana foana ary matoria tsara,aretin-tratra,misy tsindry eo amin ny tratrako hatramin'ny ora tosi-dra hypertension tratra
aretin-kibo,Marary ny kiboko ary misy nausée be,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Smecta : 3x/andro raha misy alahelo,Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,marary ny kiboko ary misy nausee be manaintaina mangirifiry fanaintainana kibo kibony
aretin-doha,Mangorangoraka ny lohako ary manefotefo mafy,Sumatriptan : 1x/andro raha ilaina,Paracétamol 500 mg : 3x/andro raha ilaina,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,mangorangoraka ny lohako ary manefotefo mafy loha lohany
aretin-kibo,Inona no atao raha misy gastrite be aho hatramin'ny maraina?,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Smecta : 3x/andro raha misy alahelo,Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,inona no atao raha misy gastrite be aho hatramin'ny maraina
aretim-po,Misy insuffisance cardiaque aho efa 6 andro lasa izay,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Nitroglycérine spray : raha ilaina rehefa mafy,Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,misy insuffisance cardiaque aho efa andro lasa izay
fiakaran-ny-tosi-dra,Tosi-dra 180/110 no ambony loatra mandritra ny 2 andro,Lisinopril 10 mg : 1x/andro (maraina),Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,tosi-dra tosi dra 180 110 no ambony loatra mandritra ny andro tsindry hypertension
tazomoka,Voan ny tazomoka ary aùbony be ny degre ny mari panako ary reraka mafy aho hatramin ny omaly,Artéméther injection : araka ny dokotera,Vitamine C 500 mg : 1x/andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary aubony be ny degre ny mari panako ary reraka mafy aho hatramin ny omaly tazo avy amin ny kaikitry ny moka
aretin-tenda,Inona no atao raha marary ny tendako rehefa mitelina efa 6 andro lasa izay?,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : raha ilaina,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,inona no atao raha marary ny tendako rehefa mitelina efa andro lasa izay manaintaina mangirifiry fanaintainana tenda tendany marary tenda
fiakaran-ny-tosi-dra,Inona no atao raha tosi-dra 160/100 no mahazo ahy mandritra ny andro manontolo?,Amlodipine 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,inona no atao raha tosi-dra tosi dra 160 100 no mahazo ahy mandritra ny andro manontolo tsindry hypertension
fiakaran-ny-tosi-dra,Tosi-dra ambony ary tsy mahazo aina tsara efa 6 andro lasa izay,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,tosi-dra tosi dra ambony ary tsy mahazo aina tsara efa andro lasa izay tsindry hypertension
kohaka,Mikohaka aho ary marary ny tendako hatramin'ny alina,Dextromethorphan sirop : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,mikohaka aho ary marary ny tendako hatramin'ny alina kohaka manaintaina mangirifiry fanaintainana tenda tendany marary tenda
kohaka,Mikohaka mando ary misy siflema aho efa 6 andro lasa izay,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Cetirizine 10 mg : 1x/andro (hariva),Misotroa rano mafana sy tantely matetika isan andro,kohaka,mikohaka mando ary misy siflema aho efa andro lasa izay kohaka
aretin-tratra,Marary ny tratrako ary mafana be ny vatako hatramin'ny alina,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,marary ny tratrako ary mafana be ny vatako hatramin'ny alina manaintaina mangirifiry fanaintainana tratra tazo manavy mamay
aretim-po,Misy fanaintainana ny foko ary sarotra amiko ny miaina mandritra ny 2 andro,Bisoprolol 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Mila mampihena ny stress ary aza miasa be loatra,aretim-po,misy fanaintainana ny foko ary sarotra amiko ny miaina mandritra ny andro marary manaintaina mangirifiry fo
aretin-urinaire,Matetika mankany amin ny toilette aho hatramin'ny maraina,Nitrofurantoïne 100 mg : 2x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mihinana sakafo misy sukary,aretin-urinaire,matetika mankany amin ny toilette aho hatramin'ny maraina
aretin-tenda,Sarotra ny mitelina noho ny tendako marary hatramin'ny alina,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,sarotra ny mitelina noho ny tendako marary hatramin'ny alina tenda tendany marary tenda manaintaina mangirifiry fanaintainana
diabeta,Misy diabeta aho ary misy fanaintainana be ny tongotro efa 6 andro lasa izay,Insuline : araka ny torohevitry ny dokotera,Vitamine D : 1x/andro (maraina),Aza mihinana sakafo misy siramamy be ary mihinana akondro kely,diabeta,misy diabeta aho ary misy fanaintainana be ny tongotro efa andro lasa izay fiakaran ny siramamy fidinan ny siramamy marary manaintaina mangirifiry tongotra lohalika ratsan-tongotra
aretin-tsaina,Misy stress mafy aho hatramin'ny 9 ora,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Magnésium : 1x/andro (hariva) mandritra ny 1 volana,Maka hazavana amin ny antoandro ary manao hetsika maivana,aretin-tsaina,misy stress mafy aho hatramin'ny ora
tazo,Inona no atao raha ambony ny hafanan ny vatako ary mangovitra be aho?,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano betsaka 3L isan andro ary matoria tsara,tazo,inona no atao raha ambony ny hafanan ny vatako ary mangovitra be aho
aretin-kibo,Tsy metimety ny kiboko hatramin ny omaly mandritra ny andro manontolo,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Smecta : 3x/andro raha misy alahelo,Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,tsy metimety ny kiboko hatramin ny omaly mandritra ny andro manontolo kibo kibony
aretin-tsaina,Inona no atao raha misy anxiété mafy aho hatramin'ny 9 ora mba hanampy?,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Vitamine B12 : 1x/andro (maraina),Manao yoga na meditation isan andro 15 minitra,aretin-tsaina,inona no atao raha misy anxiete mafy aho hatramin'ny ora mba hanampy
areti-maso,Manaintaina ny masoko rehefa mijery solosaina mandritra ny andro manontolo,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Antihistaminique collyre : 2x/andro,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,manaintaina ny masoko rehefa mijery solosaina mandritra ny andro manontolo marary mangirifiry fanaintainana maso masony
areti-maso,Masoko mena ary tsy afaka misokatra efa 6 andro lasa izay,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Antihistaminique collyre : 2x/andro,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,masoko mena ary tsy afaka misokatra efa andro lasa izay maso masony
aretin-kibo,Marary ny kiboko ary very hery be aho hatramin'ny maraina,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Dompéridone : 3x/andro alohan ny sakafo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,marary ny kiboko ary very hery be aho hatramin'ny maraina manaintaina mangirifiry fanaintainana kibo kibony
aretin-urinaire,Brûlure mafy rehefa mivoaka pipi mandritra ny 2 andro ahoana ny fitsaboana?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,ORS : misotroa betsaka,Misotroa rano cranberry,aretin-urinaire,brulure mafy rehefa mivoaka pipi mandritra ny andro ahoana ny fitsaboana mamany mipipi
tazomoka,Voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho hatramin'ny 9 ora,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho hatramin'ny ora tazo avy amin ny kaikitry ny moka
fiakaran-ny-tosi-dra,Hypertension ary tsy mahazo aina tsara,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,hypertension ary tsy mahazo aina tsara tsindry tosi-dra
aretin-tratra,Tsy afaka ny miaina aho,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana foana ary matoria tsara,aretin-tratra,tsy afaka ny miaina aho
fiakaran-ny-tosi-dra,Hypertensionno mahavoa ahy ary reraka be koa aho hatramin'ny alina inona ny tokony hatao?,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,hypertensionno mahavoa ahy ary reraka be koa aho hatramin'ny alina inona ny tokony hatao
aretin-kibo,Manaintaina be ny kiboko hatramin'ny 9 ora,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Smecta : 3x/andro raha misy alahelo,Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,manaintaina be ny kiboko hatramin'ny ora marary mangirifiry fanaintainana kibo kibony
aretin-urinaire,Inona no atao raha misy cystite mafy aho hatramin ny omaly?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro raha ilaina,Aza mitazona pipi ela loatra,aretin-urinaire,inona no atao raha misy cystite mafy aho hatramin ny omaly
aretin-urinaire,Brûlure mafy rehefa mivoaka pipi hatramin'ny herinandro,Nitrofurantoïne 100 mg : 2x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,brulure mafy rehefa mivoaka pipi hatramin'ny herinandro mamany mipipi
aretim-po,Manaintaina ny foko,Bisoprolol 5 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,manaintaina ny foko marary mangirifiry fanaintainana fo
aretin-kibo,Misy fanaintainana amin ny ambany kiboko ahoana ny fitsaboana?,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Dompéridone : 3x/andro alohan ny sakafo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy fanaintainana amin ny ambany kiboko ahoana ny fitsaboana marary manaintaina mangirifiry kibo kibony
aretin-kibo,Manaintaina be ny kiboko mandritra ny 2 andro,Mébévérine : 2x/andro (maraina-hariva) mandritra ny 2 volana,Métoclopramide : 3x/andro raha misy nausée,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,manaintaina be ny kiboko mandritra ny andro marary mangirifiry fanaintainana kibo kibony
aretin-tratra,Sarotra amiko ny miaina hatramin'ny 9 ora,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Asio menaka mafana ny tratra isan'andro,aretin-tratra,sarotra amiko ny miaina hatramin'ny ora
aretin-tenda,Misy aretin-tenda sy tazo mahery aho,Benzidamine spray : 3x/andro amin ny tendako,Pastilles pour gorge : matetika isan andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,misy aretin-tenda aretin tenda sy tazo mahery aho tendako tendany marary tenda manavy mafana mamay
fiakaran-ny-tosi-dra,Misy hypertension ary mivonto ny tongotrako inona ny tokony hatao?,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Ahenao ny sira amin ny sakafo ary manaova fanatanjahan-tena maivana,fiakaran-ny-tosi-dra,misy hypertension ary mivonto ny tongotrako inona ny tokony hatao tsindry tosi-dra
fiakaran-ny-tosi-dra,Misy hypertension ary mivonto ny tongotrako mandritra ny andro manontolo,Lisinopril 10 mg : 1x/andro (maraina),Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,misy hypertension ary mivonto ny tongotrako mandritra ny andro manontolo tsindry tosi-dra
aretin-tanana,Tanana mivonto ary mena hatramin'ny herinandro,Kétoprofène gel : mametraka 3x/andro,Gel anti-inflammatoire : mametraka 2x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,tanana mivonto ary mena hatramin'ny herinandro tananako ankihibe ratsan-tanana
aretin-doha,Tsy mahazaka hazavana aho noho ny aretin-dohako efa 6 andro lasa izay,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,tsy mahazaka hazavana aho noho ny aretin-dohako aretin dohako efa andro lasa izay
aretin-tratra,Inona no atao raha marary ny tratrako ary mafana be ny vatako hatramin'ny maraina?,Salbutamol inhaler : 2 bouffées rehefa ilaina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Misotroa rano mafana foana ary matoria tsara,aretin-tratra,inona no atao raha marary ny tratrako ary mafana be ny vatako hatramin'ny maraina manaintaina mangirifiry fanaintainana tratra tazo manavy mamay
aretin-tratra,Sarotra amiko ny miaina ary mikohaka mando aho hatramin'ny maraina,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Asio menaka mafana ny tratra isan'andro,aretin-tratra,sarotra amiko ny miaina ary mikohaka mando aho hatramin'ny maraina kohaka
aretim-po,Misy fanafihana eo amin ny foko ary amin ny sandry hatramin'ny maraina,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,misy fanafihana eo amin ny foko ary amin ny sandry hatramin'ny maraina fo
aretin-tanana,Manaintaina ny ratsan tanako hatramin'ny 9 ora,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Gel anti-inflammatoire : mametraka 2x/andro,Mampiasa attelle raha ilaina ary mitsahara,aretin-tanana,manaintaina ny ratsan tanako hatramin'ny ora marary mangirifiry fanaintainana
tazomoka,Inona no atao raha mangovitra be aho ary voan ny tazomoka 39 degre ny hafanako?,Quinine : 3x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,inona no atao raha mangovitra be aho ary voan ny tazomoka 39 degre ny hafanako tazo avy amin ny kaikitry ny moka
aretin-tanana,Tanana mivonto ary mena hatramin'ny alina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Gel anti-inflammatoire : mametraka 2x/andro,Asio ranomandry rehefa mivonto ny tanana,aretin-tanana,tanana mivonto ary mena hatramin'ny alina tananako ankihibe ratsan-tanana
aretim-po,Inona no atao raha foko mafy ary misy douleur hatramin'ny 9 ora?,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Aza mihinana sakafo misy graise be ary manaova dieta,aretim-po,inona no atao raha foko mafy ary misy douleur hatramin'ny ora fo
aretim-po,Foko mafy ary misy vertiges,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,foko mafy ary misy vertiges fo
aretin-doha,Voan'ny headache mafy aho androany,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Aza mijery solosaina na finday ela loatra,aretin-doha,voan'ny headache mafy aho androany
aretin-pivalanana,Misy diarrhée mando ary marary ny kiboko hatramin'ny alina,ORS : misotroa isaky ny mandrevo,Lopéramide : raha ilaina,Aza mihinana voankazo manta,aretin-pivalanana,misy diarrhee mando ary marary ny kiboko hatramin'ny alina manaintaina mangirifiry fanaintainana kibo kibony
tazo,Misy tazo foana aho isak hariva mandritra ny andro manontolo misy fanafody ve?,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano betsaka 3L isan andro ary matoria tsara,tazo,misy tazo foana aho isak hariva mandritra ny andro manontolo misy fanafody ve manavy mafana mamay
tazomoka,Voan ny tazomoka aho hatramin'ny 9 ora,Artéméther injection : araka ny dokotera,Vitamine C 500 mg : 1x/andro,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny tazomoka aho hatramin'ny ora tazo avy amin ny kaikitry ny moka
aretin-tratra,Misy kohaka sy tratrako ary marary mafy aho mandritra ny 2 andro,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,misy kohaka sy tratrako ary marary mafy aho mandritra ny andro mikohaka tratra manaintaina mangirifiry fanaintainana
tazomoka,Misy tazomoka ary manaintaina ny vatako hatramin'ny 9 ora,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,misy tazomoka ary manaintaina ny vatako hatramin'ny ora tazo avy amin ny kaikitry ny moka marary mangirifiry fanaintainana
aretin-tsaina,Kivy be aho ary very hery efa 6 andro lasa izay,Mélatonine : 1x/andro (hariva) mandritra ny 1 volana,Valériane : 1x/andro (hariva),Manao yoga na meditation isan andro 15 minitra,aretin-tsaina,kivy be aho ary very hery efa andro lasa izay saiko saina
fiakaran-ny-tosi-dra,Misy hypertension ary mitebiteby be aho hatramin ny omaly,Amlodipine 5 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,misy hypertension ary mitebiteby be aho hatramin ny omaly tsindry tosi-dra
